text,predicted class
"Καμε εις εμε σημειον εις αγαθον , δια να ιδωσιν οι μισουντες με και να αισχυνθωσι διοτι συ , Κυριε , με εβοηθησας και με παρηγορησας .",3
"Θελει με επικαλεισθαι , και θελω εισακουει αυτου μετ  αυτου θελω εισθαι εν θλιψει θελω λυτρονει αυτον και θελω δοξαζει αυτον .",1
Διοτι αυτος ειναι ο Θεος ημων και ημεις λαος της βοσκης αυτου και προβατα της χειρος αυτου .,3
"Μνησθητι μου , Κυριε , εν τη ευμενεια τη προς τον λαον σου επισκεφθητι με εν τη σωτηρια σου",2
Παρεκαλεσα το προσωπον σου εν ολη καρδια ελεησον με κατα τον λογον σου .,2
Ποσον γλυκεις ειναι οι λογοι σου εις τον ουρανισκον μου ειναι υπερ μελι εις το στομα μου .,3
Βασιλεις της γης και παντες λαοι αρχοντες και παντες κριται της γης,3
Η προσδοκια των δικαιων θελει εισθαι ευφροσυνη η ελπις ομως των ασεβων θελει απολεσθη .,2
"Οστις ευρηκε γυναικα , ευρηκεν αγαθον και απηλαυσε χαριν παρα Κυριου .",3
"Και ευρον οτι πικροτερα ειναι παρα θανατον η γυνη , της οποιας η καρδια ειναι παγιδες και δικτυα και αι χειρες αυτης δεσμα ο αρεστος ενωπιον του Θεου θελει εκφυγει απ  αυτης ο δε αμαρτωλος θελει συλληφθη εν αυτη .",2
"Ευρισκουσα σε εξω ηθελον σε φιλησει , και δεν ηθελον με καταφρονησει .",3
"Και ουτω θελει προσμεινει ο Κυριος δια να σας ελεηση , και ουτω θελει υψωθη δια να σας οικτειρηση διοτι ο Κυριος ειναι Θεος κρισεως μακαριοι παντες οι προσμενοντες αυτον .",2
"δια να ιδωσι και να γνωρισωσι και να στοχασθωσι και να εννοησωσιν ομου , οτι η χειρ του Κυριου εκαμε τουτο και ο Αγιος του Ισραηλ εδημιουργησεν αυτο .",2
"Και θελω συντριψει αυτους μετ  αλληλων , και τους πατερας και τους υιους ομου , λεγει Κυριος δεν θελω σπλαγχνισθη ουδε φεισθη ουδε ελεησει , αλλα θελω εξολοθρευσει αυτους .",3
"δια τουτο θελω απορριψει υμας απο της γης ταυτης , εις την γην , την οποιαν δεν εγνωρισατε , υμεις και οι πατερες υμων και εκει θελετε λατρευσει αλλους θεους ημεραν και νυκτα διοτι δεν θελω καμει ελεος προς υμας .",3
Και θελει λειψει η φυγη απο των ποιμενων και η σωτηρια απο των εγκριτων του ποιμνιου .,3
"Διοτι εις παντα ανθρωπον εκ του οικου Ισραηλ και εκ των ξενων των παροικουντων εν τω Ισραηλ , οστις απαλλοτριωθη απ  εμου και αναβιβαση τα ειδωλα αυτου εις την καρδιαν αυτου και θεση το προσκομμα της ανομιας αυτου εμπροσθεν του προσωπου αυτου και ελθη προς τον προφητην δια να ερωτηση αυτον περι εμου , εγω ο Κυριος θελω αποκριθη προς αυτον περι εμου",3
Δια τουτο ουτω λεγει Κυριος ο Θεος .,3
"Και θελεις γνωρισει οτι εγω ο Κυριος ηκουσα πασας τας βλασφημιας σου , τας οποιας επροφερες κατα των ορεων του Ισραηλ , λεγων , αυτα ηρημωθησαν , εις ημας εδοθησαν δια τροφην .",2
"και το πλατος του προσωπου του οικου και του κεχωρισμενου μερους προς ανατολας , εκατον πηχων .",3
"Και ο σικλος θελει εισθαι εικοσι γερα εικοσι σικλοι , εικοσιπεντε σικλοι , δεκαπεντε σικλοι , θελει εισθαι η μνα σας .",2
Ο διαρρηγνυων ανεβη εμπροσθεν αυτων διερρηξαν και διεβησαν δια της πυλης και εξηλθον δι  αυτης και ο βασιλευς αυτων θελει διαβη εμπροσθεν αυτων και ο Κυριος επι κεφαλης αυτων .,3
"και ειπε προς τους δουλους αυτου Ουτος ειναι Ιωαννης ο Βαπτιστης αυτος ηγερθη απο των νεκρων , και δια τουτο ενεργουσιν αι δυναμεις εν αυτω .",3
"και οπου εισελθη , ειπατε προς τον οικοδεσποτην οτι ο Διδασκαλος λεγει Που ειναι το καταλυμα , οπου θελω φαγει το πασχα μετα των μαθητων μου ;",3
"Απεκριθη λοιπον ο Ιησους και ειπε προς αυτους Αληθως , αληθως σας λεγω , δεν δυναται ο Υιος να πραττη ουδεν αφ  εαυτου , εαν δεν βλεπη τον Πατερα πραττοντα τουτο επειδη οσα εκεινος πραττει , ταυτα και ο Υιος πραττει ομοιως .",3
"ουτος ειναι ο αρτος ο καταβαινων εκ του ουρανου , δια να φαγη τις εξ αυτου και να μη αποθανη .",3
"Δια τουτο ο Πατηρ με αγαπα , διοτι εγω βαλλω την ψυχην μου , δια να λαβω αυτην παλιν .",3
Ο Σολομων δε ωκοδομησεν εις αυτον οικον .,3
"Και ευροντες πλοιον μελλον να περαση εις Φοινικην , επεβημεν εις αυτο και απεπλευσαμεν .",3
"Εκεινοι δε ακουσαντες εδοξαζον τον Κυριον , και ειπον προς αυτον Βλεπεις , αδελφε , ποσαι μυριαδες ειναι εκ των Ιουδαιων οιτινες επιστευσαν , και παντες ειναι ζηλωται του νομου .",3
"Και κοψαντες τας αγκυρας , αφηκαν το πλοιον εις την θαλασσαν , λυσαντες ενταυτω τους δεσμους των πηδαλιων , και υψωσαντες τον αρτεμονα προς τον ανεμον , κατηυθυνοντο εις τον αιγιαλον .",2
"εις δε τον βασιλεα των αιωνων , τον αφθαρτον , τον αορατον , τον μονον σοφον Θεον , ειη τιμη και δοξα εις τους αιωνας των αιωνων αμην .",2
ο Λουκας ειναι μονος μετ  εμου .,3
"Ομοιως αι γυναικες , υποτασσεσθε εις τους ανδρας υμων , ινα και εαν τινες απειθωσιν εις τον λογον , κερδηθωσιν ανευ του λογου δια της διαγωγης των γυναικων ,",2
"Γύρω από τη λίμνη κατοικούσαν Θρακικές φυλές Σίντιοι, Βισάλτες, Παίονες και Ήδωνες, μέχρι που εκδιώχτηκαν από τους Μακεδόνες τον 5°π.Χ. αιώνα.",3
"(Εξπρές 20/ 11/2005, Αυριανή 21/ 11/2005, Θεσσαλονίκη 21/ 11/2005)",3
Η λέξη Αξιός έχει μακεδονική ρίζα από το αξός που σημαίνει δάσος ή ύλη.,3
"Το όνομα Βαρδάρης είναι μεσαιωνικό και προέρχεται από τη μογγολική φυλή των Βαρδάρων, που κατά τον 7ο αιώνα συνθηκολόγησε με τον αυτοκράτορα του Βυζαντίου και εγκαταστάθηκε στην κοιλάδα του Αξιού καλλιεργώντας εδάφη που της παραχωρήθηκαν.",3
"H ερευνητική εργασία “Simulating Mission Critical Mobile Ad-hoc Networks” παρουσιάζει ένα μοντέλο κινητικότητας για ad hoc δίκτυα που λειτουργούν σε κρίσιμες καταστάσεις, όπως για παράδειγμα φυσικές καταστροφές, στρατιωτικές ...",3
"Είμαστε μέλη της ευρωζώνης, έχουμε δικαιώματα και υποχρεώσεις.",3
"Όλοι μαζί άκουσαν τον Ύμνο των Special Olympics αλλά και μελωδίες από τα μαγικά δάκτυλα του δημιουργού τους, Στέφανου Κορκολή, με συνοδεία τη γλυκιά φωνή της Σοφίας Μανουσάκη και με τη δική της μοναδική ερμηνεία.",3
"Μου είπαν ότι θα το καταχωρούσαν στα πρακτικά , αλλά δεν έχει καταχωρηθεί .",3
Μου φαίνεται ότι έδωσα απάντηση σε μία σειρά προβλημάτων .,3
"( Το Σώμα εγκρίνει το ψήφισμα νομοθετικού περιεχομένου ) Έκθεση ( Α4-0363 / 97 ) του κυρίου Novo , εξ ονόματος της Επιτροπής Αλιείας , σχετικά με την πρόταση κανονισμού του Συμβουλίου που αφορά τη σύναψη του πρωτοκόλλου για τον καθορισμό των αλιευτικών δυνατοτήτων και των οικονομικών ανταλλαγμάτων που προβλέπονται στη συμφωνία μεταξύ της Ευρωπαϊκής Κοινότητας και της κυβέρνησης της Δημοκρατίας του Πράσινου Ακρωτηρίου όσον αφορά την αλιεία στα ανοικτά των ακτών του Πράσινου Ακρωτηρίου , για την περίοδο από 6 Σεπτεμβρίου 1997 έως 5 Σεπτεμβρίου 2000 ( COM ( 97 ) 0521 - C4-0566 / 97-97 / 0270 ( CNS ) )",3
"Επομένως , μπορώ να ρωτήσω πότε προτίθεται η Επιτροπή να αναθεωρήσει την οδηγία για το ευρωπαϊκό σήμα τέλους κυκλοφορίας ;",3
Δεν θα ήταν αυτό πιο αποδοτικό και δεν θα δημιουργούσε λιγότερες διακρίσεις ;,3
Τούτο αποτελεί εν πρώτοις μια καλή αφετηρία .,3
Αυτό σημαίνει ότι πρέπει να δουλέψουμε σκληρότερα για την ιδέα της εσωτερικής αγοράς και εδώ κεντρικό σημείο αποτελεί η κοινωνία της πληροφορικής .,3
Για ποιο λόγο παράγουμε ορμόνες ;,3
Οι απαντήσεις σε πολλά από τα ζητήματα και τα προβλήματα που ανακύπτουν θα βρεθούν χωρίς αμφιβολία στις προτάσεις που θα παρουσιάσει σύντομα η Επιτροπή για το μέλλον της κοινής γεωργικής πολιτικής .,3
"Εντωμεταξύ , κάθε συνομιλία με εκπροσώπους των αρχών της Λευκορωσίας , όπου και αν πραγματοποιείται , θα πρέπει να ισορροπείται με συναντήσεις στο ίδιο επίπεδο μεταξύ πολιτικών της ΕΕ και των σημαντικότερων εκπροσώπων της αντιπολίτευσης .",3
"Κύριε Πρόεδρε , κυρία Επίτροπε , αγαπηοτί συνάδελφοι , πέρα από τα συγχαρητήριά μου προς τις συναδέλφους κ . Wemheuer και Theato για την εξαίρετη εργασία η οποία αποτελεί πλέον ένα υποχρεωτικό σημείο αναφοράς , επισημαίνω τρεις πτυχές .",3
"Αυτές , κυρίες και κύριοι βουλευτές και κυρία Πρόεδρος , ήταν όλες οι πληροφορίες που θα μπορούσε η Ευρωπαϊκή Επιτροπή να καταθέσει ενώπιον του Σώματος στην σημερινή συνεδρίαση .",3
"Χρειάζεται συνεπώς η παράγραφος να ψηφισθεί χωριστά , για να αφαιρεθεί αυτή η φράση που βρίσκεται στη μέση .",3
"Πρόεδρε , συνάδελφοι , η περίπτωση της Γαλλίας δεν είναι βεβαίως μοναδική , ωστόσο ο βίαιος τρόπος με τον οποίο η γαλλική κυβέρνηση απομάκρυνε από την εκκλησία του Αγίου Βερνάρδου όλους όσους δεν διέθεταν τα απαραίτητα έγγραφα θορύβησε πάρα πολλούς πολίτες .",3
"Όντως , ο ευρωπαϊκός στόλος οχημάτων ανανεώνεται μόνο κατά 8 % ετησίως .",3
"Διάφορα Κράτη μέλη έχουν ζητήσει να είναι σε θέση , σε ορισμένες περιπτώσεις , να ζητούν τη συμβολή των γονέων στο σχέδιο .",3
Μπορώ να διαβεβαιώσω το Σώμα ότι οι προσπάθειες μας θα κινηθούν κυρίως στην κατεύθυνση αυτή .,3
Αυτό δεν είναι συμβατό με το διεθνές δίκαιο και δικαίως διαμαρτυρηθήκαμε έντονα .,3
"Κυρία Πρόεδρε , θα ήθελα με την άδειά σας να επιστρέψω στο θέμα της Βιρμανίας διότι ο επίτροπος δεν έλαβε θέση επί ενός ζητήματος που του έθεσα .",3
Ο σκοπός της προσεκτικής εξέτασης των παραπόνων που επιβάλλονται στον Διαμεσολαβητή είναι πράγματι η συμβολή στη βελτίωση της λειτουργίας των κοινοτικών θεσμών και οργάνων και της αξιοπιστίας τους .,3
"Όμως , τα εν λόγω κράτη μέλη δεν θα πρέπει μετά να διαπραγματευθούν με μια άλλη υπερδύναμη , δηλαδή τις "" ΠΑ , αναφορικά με τους πυραύλους ή τις θεωρήσεις . """,3
Το HIV / AIDS μπορεί να καταπολεμηθεί επιτυχώς μόνο αν οι χώρες εταίροι δώσουν τη μάχη εναντίον του στο πλαίσιο προσπαθειών για τη μείωση της φτώχειας .,3
"Πρέπει να επενδύσουμε στην παροχή υπηρεσιών και την εκπαίδευση για φάρμακα και θεραπείες , στις μητέρες και στα παιδιά , σε εκστρατείες πρόληψης , σε επαγγελματίες υγείας και πρόνοιας και σε ομάδες υποστήριξης ΜΚΟ .",3
"Ωστόσο , αυτό προϋποθέτει ότι θα αναπτύξουμε και θα τηρήσουμε κοινές αρχές σχετικά με την προστασία των δεδομένων .",3
"Προσωπικά , θα προτιμούσα αυτά τα ζητήματα να συζητηθούν στο πλαίσιο του ΝΑΤΟ ή της ΕΕ , αλλά επί του παρόντος κάτι τέτοιο δεν είναι δυνατό .",3
"Κατά δεύτερον , συνεπάγεται τη σταδιακή μηχανοργάνωση όλων των τελωνειακών διατυπώσεων , με σκοπό να επιτευχθεί πλήρως ένα περιβάλλον χωρίς χαρτί για τα τελωνεία και τις εμπορικές επιχειρήσεις , η ανάπτυξη του οποίου θα στηρίζεται και θα καθορίζεται από την απόφαση για τα ηλεκτρονικά τελωνεία ( e-customs ) ( αριθ 70 / 2008 / ΕΚ ) του Κοινοβουλίου και του Συμβουλίου , η οποία εγκρίθηκε στις 15 Ιανουαρίου 2008 .",3
Ένα από τα ζητήματα που πρέπει να αντιμετωπιστούν ως προς την καταπολέμηση της παχυσαρκίας είναι η αποτελεσματική σήμανση των προϊόντων διατροφής .,3
"Οι χρεώσεις που αφορούν τη θέρμανση , για παράδειγμα , αποτελούν σημαντική δαπάνη για τους ενοίκους και χρειάζονται ρύθμιση , ακόμη και μείωση .",3
"Πρέπει να συμφωνήσουμε με αυτή την εξαναγκαστική ισότητα που επιτυγχάνεται μέσω υποχρεωτικών , μεροληπτικών και εστιασμένων στις μειονότητες ποσοστώσεων ;",3
"Κυρία Επίτροπε ,",3
"Το ενιαίο νόμισμα θα καταργήσει τις προσαρμογές μεταξύ των εθνικών οικονομιών , που συντελούνταν αυτόματα μέσω της αγοράς και θα τις αντικαταστήσει απαραιτήτως , στο τέλος , με δημοσιονομικές ανακατανομές που θα έχουν ως επίκεντρο τις Βρυξέλλες .",3
"Γνωρίζω τη σημασία τους , γνωρίζω και την παραγωγικότητα των μέσων αυτών , αλλά πιστεύω ότι και εδώ πρέπει να υπάρξει μία συμβολή , και τα ειδικά προβλήματα που έχει για παράδειγμα η Πορτογαλία με τα διαρθρωτικά ταμεία χρειάζονται προσοχή .",3
Έκθεση Lφφw ( Α4-0476 / 98 ),3
"Πριν λίγες εβδομάδες , καθώς διέσχιζα την οδό Wiertz , με σταμάτησε κάποιος και με ρώτησε αιφνιδίως : « Πώς μπορούμε να έχουμε πρόσβαση στη βιβλιοθήκη του Ευρωπαϊκού Κοινοβουλίου ; » .",3
"Νομίζω , πάντως , ότι η διαδικασία ανάδειξης του υποψηφίου για το αξίωμα του Προέδρου δεν μπορεί να αρχίσει πριν εκφραστούν οι ψηφοφόροι και μόνο από σεβασμό προς τον πολίτη , ο οποίος διαδραματίζει τον ρόλο του ψηφοφόρου , καθώς και προς το Ευρωπαϊκό Κοινοβούλιο .",3
"Κύριε Πρόεδρε , θέλω να υπογραμμίσω και εγώ ότι οι τέσσερις αυτές εκθέσεις μπορούν να παίξουν θετικό ρόλο .",3
"Ας συνεχίσουμε να συζητάμε εδώ αυτό το ίδιο θέμα , όχι κάθε δύο μήνες , αλλά κάθε μήνα , επειδή ο Καναδάς χρησιμοποιεί όλα τα επιχειρήματα για μην μας δώσει κανενός είδους λόγο .",3
Δεύτερον : στη συζήτηση αυτή πρέπει να συμπεριληφθούν και οι αναπτυσσόμενες χώρες όταν θίγονται θέματα που τις αφορούν .,3
Μπορούμε δηλαδή να τα καταφέρουμε .,3
Πρέπει να λαμβάνονται περισσότερο υπόψη .,3
"Πιστεύω ακράδαντα ότι η προσέγγιση της Ένωσης σχετικά με την ανάπτυξη του παγκόσμιου δορυφορικού συστήματος πλοήγησης είναι ζωτικής σημασίας όχι μόνον για λόγους που έχουν να κάνουν με τις μεταφορές , αλλά και όσον αφορά την απασχόληση , την ανταγωνιστικότητα και το ευρύτερο στρατηγικό μας συμφέρον .",3
Για άλλη μια φορά ακτιβιστές της αντιπολίτευσης που διαμαρτύρονταν κατά του εκλογικού αποτελέσματος διασκορπίστηκαν με τη βία .,3
"Μεταξύ άλλων προβλημάτων τα οποία έχουν καλυφτεί από τις τροπολογίες που κατέθεσε η πολιτική μου ομάδα , θα ήθελα να υποστηρίξω ιδιαίτερα την ανταλλαγή πληροφοριών από δοκιμές σε ζώα , ούτως ώστε να αποφευχθεί η ανάγκη διενέργειας νέων δοκιμών σε ζώα .",3
"Είναι αλήθεια ότι υπάρχει ένας νέος παράγοντας , κυρία Πρόεδρε , και συνίσταται στο ότι αυτήν την στιγμή έχουμε στρατούς χωρίς εμφανείς εχθρούς και εχθρούς οι οποίοι δεν έχουν στρατούς .",3
"Ήρθε η ώρα για μια λογική , ισορροπημένη και , με την καλύτερη έννοια της λέξης , ευρωπαϊκή προσέγγιση .",3
"Οι εξουσίες του Οργανισμού θα πρέπει να αυξηθούν , ώστε να μπορεί να καλύψει τις ανάγκες της αγοράς .",3
"Είναι σημαντικό , επομένως , να αντιμετωπιστούν τα προβλήματα με ενδεδειγμένο τρόπο για όλες τις ενδιαφερόμενες πλευρές .",3
"Πιστεύουμε , ωστόσο , ότι θα πρέπει να υπάρχει μια θεμελιώδης αξιολόγηση της θεσμικής ικανότητας της Ένωσης να απορροφήσει την Τουρκία και ότι αυτό θα αποτελέσει μέρος της έκθεσης της Επιτροπής τον Οκτώβριο .",3
Αυτό συμπεριλήφθηκε επίσης σε μια νέα τροπολογία .,3
Ο μέσος βουλευτής περνά λιγότερο από πέντε ώρες μέσα σε αυτή την αίθουσα κατά τη διάρκεια μιας εβδομάδας στο Στρασβούργο .,3
"Αισθανθείτε περήφανοι που είστε πρωταγωνιστές αυτές της μεγάλης απόφασης και μην ξεχνάτε ότι , πέρα από τους λόγους , δίνετε μία ευκαιρία στη ζωή και την ελευθερία .",3
"Μετά από μια μάλλον περιπετειώδη διαδρομή από το Ντάρμπαν , έχουμε τώρα μία ομόφωνη διακήρυξη και ένα πρόγραμμα δράσης - μία ευπρόσδεκτη ανάπτυξη που πρέπει τώρα να χρησιμοποιήσουμε σωστά .",3
"Μια και κάνω λόγο για μια ιδέα της Ευρώπης , θα ήθελα να σας πω , κυρίες και κύριοι βουλευτές , ότι η συζήτηση αυτή για τη συνοχή , την οποία ξεκίνησα εδώ και ένα χρόνο και την οποία σκοπεύω να ολοκληρώσω με τα κράτη μέλη , ειλικρινά , με γνώμονα την αποκέντρωση - μπορείτε να βασίζεστε επάνω μου - η συζήτηση αυτή εντάσσεται στο πλαίσιο μιας άλλης μεγάλης συζήτησης για το μέλλον της Ευρώπης .",3
"Τούτο θα είναι εφικτό , θα είναι τεχνικά εφικτό , θα αποτελεί όμως επίσης πολιτική πρόθεση και θα είναι πολιτικά εφικτό .",3
Δεν υποτιμώ τις δυσκολίες που αντιμετωπίζει ο γαλακτοκομικός τομέας .,3
"Διότι , Επίτροπε , η βιομηχανία μας αργοπεθαίνει .",3
"Ωστόσο , έχει έρθει η ώρα να εστιάσουμε αποφασιστικά στην επίλυση των διαμαχών .",3
"Στην πραγματικότητα , εισερχόμαστε ξανά στο NATO παρόλο που ο Ψυχρός Πόλεμος έχει τελειώσει από το 1990 .",3
Διαλειτουργικότητα μεταξύ των συσκευών φόρτισης των κινητών τηλεφώνων ( συζήτηση ),3
Το πρόγραμμα εργασίας σας δεν παρέχει ιδιαίτερα σαφείς πληροφορίες σε σχέση με αυτά .,3
"Σχέδια και πρωτοβουλίες που υποβάλλονται από συμμετέχοντες από την Ελβετία θα υπόκεινται στις ίδιες προϋποθέσεις , κανόνες και διαδικασίες που ισχύουν για σχέδια από τα κράτη μέλη .",3
Οι νέοι πολίτες της Ευρωπαϊκής Ένωσης θα μπορούν να συμμετάσχουν σε όλα τα σχέδια μαζί με τους νέους από την Ελβετία .,3
Είναι εξαιρετικά σημαντικό να συνεχίσει η ΕΕ να παρέχει βοήθεια και να κατευθύνει αυτήν τη βοήθεια στην οικοδόμηση των θεσμών που είναι αναγκαίοι για την εύρυθμη λειτουργία ενός ανεξάρτητου κράτους .,3
"Για τον λόγο αυτό , φρονώ ότι το εν λόγω θέμα θα πρέπει επειγόντως να συμπεριληφθεί στην ημερήσια διάταξη της ΔΔ , εφόσον από μόνο του δικαιολογεί μια ευρεία μεταρρύθμιση .",3
"Με ευχαρίστηση σημειώνουμε το γεγονός ότι υπογραμμίστηκε η σημασία της τόνωσης της ζήτησης της αγοράς . "" ισορρόπηση τέτοιων μέτρων , καθώς και η διάθεση δανείων με χαμηλό τόκο και η απλοποίηση διοικητικών διαδικασιών για τη λήψη χρηματοπιστωτικών πόρων , και , από την άλλη πλευρά , η δημιουργία κινήτρων αγοράς καινούριων αυτοκινήτων για τους καταναλωτές , μπορούν να βοηθήσουν στην τόνωση της αγοράς .",3
"Λαμβάνοντας υπόψη αυτό που μόλις είπα , κύριε Pflüger , είναι λίγο απερίσκεπτο να με κατηγορείτε για μεροληψία , απλώς και μόνο επειδή μία ημέρα , κατά τη διάρκεια μιας εκπομπής , στην ερώτηση « τι αντιπροσωπεύει ένας υποψήφιος όπως ο κ . & # 160 ; Kabila ; » , απάντησα « την ελπίδα του Κονγκό » .",3
"Οι επιβάτες των ευρωπαϊκών σιδηροδρόμων θα αποκτήσουν τώρα ισχυρότερα δικαιώματα , τόσο σε εθνικό όσο και σε διεθνές επίπεδο .",3
"Όλοι μας θέλουμε το μέλλον των σιδηροδρόμων να είναι ευοίωνο , διαφωνούμε όμως μάλλον για τον τρόπο με τον οποίο θα το επιτύχουμε αυτό .",3
"Αυτό θα μας επιτρέψει να αποφύγουμε τις αναπόφευκτες , υπό άλλες συνθήκες , αθετήσεις συμβάσεων και τις αξιώσεις που συνεπάγονται . "" ιδέα για τη θέσπιση της εισφοράς με στόχο τη χρηματοδότηση των υποχρεώσεων παροχής δημόσιας υπηρεσίας είναι αποδεκτή υπό τις παρούσες συνθήκες .",3
"Από την άλλη πλευρά , πληροφορούμαι ότι επί του θέματος αυτού δεν επικρατεί συμφωνία στο Συμβούλιο .",3
"Το γεγονός όμως παραμένει πως μολονότι αναγνωρίζουμε με μεγάλη μας λύπη ότι θα υπάρξουν σημαντικές και διαρκείς επιπτώσεις ως αποτέλεσμα της αντιδικίας αυτής , δεν βρισκόμαστε σε στάδιο στο οποίο η Επιτροπή να μπορεί να επέμβει νομικά με αποτελεσματικότητα ή με ρεαλισμό ούτως ώστε να προσπαθήσει να αποτρέψει ή να θεραπεύσει τις ζημίες .",3
"Θα ήθελα να παρακαλέσω τον κ . Επίτροπο να ξαναρίξει μία ματιά σε αυτές τις τροπολογίες , όχι αυτές τις συγκεκριμένες που ανέφερα , αλλά και στο σύνολο των τροπολογιών .",3
"Αυτό προκύπτει απλώς και μόνο από το γεγονός ότι η δυνατότητα αυτή χρησιμοποιείται εδώ και χρόνια από ένα μεγάλο αριθμό κρατών μελών , συμπεριλαμβανομένης και της Γαλλίας .",3
Τα νέα μέλη της Ευρωπαϊκής Ένωσης περιμένουν συγκεκριμένα δείγματα της αλληλεγγύης μας και όχι μόνο λόγια .,3
"Είναι λυπηρό να διαπιστώνουμε ότι δεν είναι όλοι πρόθυμοι να αναλάβουν αυτό το έργο , αλλά είμαστε αρκετοί για να δείξουμε ότι είμαστε πραγματικά στην αρχή του τέλους .",3
""" εν λόγω οδηγία αποτελεί ακόμη ένα παράδειγμα της Ευρώπης που τίθεται στην υπηρεσία των πολιτών της .",3
"Γι  αυτόν τον λόγο θα ήθελα να προσθέσω ότι η επικείμενη επικύρωση του Ευρωπαϊκού Συντάγματος , παρά την απόρριψή του σε δύο δημοψηφίσματα , είναι αντιδημοκρατική , άνανδρη και παράνομη .",3
Οι διαπραγματεύσεις που ακολούθησαν στο Συμβούλιο απεδείχθησαν πολύ δύσκολες .,3
"Είναι κοινά παραδεκτό ότι οι μικρές και οι μεσαίου μεγέθους επιχειρήσεις αποτελούν τη βασική λύση για τη μείωση της ανεργίας στην Ευρώπη , ωστόσο , επιβαρύνονται δυσανάλογα όσον αφορά τις κανονιστικές ρυθμίσεις σε σχέση με μεγαλύτερες επιχειρήσεις , λόγω των οικονομιών κλίμακας .",3
