text,Ποικιλία,archaia_or_not
"Μπαίνει μέσα με ορμή ο Άγιος Νέστωρ. Νεανίας 20 χρονών. Είνε ίδιος με το μωσαϊκό του Αγίου Σεργίου, που βρίσκεται στη βασιλική του Αγίου Δημητρίου. Μόλις τον βλέπει ο Άγιος Δημήτριος τινάζεται ολόρθος· 2",2,1
"Οι φρουροί πιάνουν τον Άγιο Δημήτριο και πάνε να τον βγάλουν έξω με φανερή προσοχή. Από το αντίθετο μέρος βγαίνει ο Καίσαρ Γαλέριος, ρίχνοντας κάτω το θρανί του από την ταραχή και τη βιασύνη του. 2",2,1
"Ορμά κατ επάνω της, μα η Κυρία Σιέβελεϋ αμέσως βάζει το χέρι της στο ηλεκτρικό κουδούνι που είναι απάνω στο τραπέζι. Το κουδούνι χτυπά με διαπεραστικές απηχήσεις, και ο Φιππς εισέρχεται. 2",2,1
"Σημ Η κεκλασμένη γραμμή παριστά τα συγκεκριμένα αισθητά πράγματα, η δε ευθεία την καθαράν έννοιαν, αμφότερα δε αντιστοιχούσι προς την διάκρισιν μεταξύ του σαρκί είναι και της σαρκός. Τα εν αφαιρέσει όντα είναι αι μαθηματικαί έννοιαι, αίτινες είναι αφηρημέναι ως προς τα υλικά όντα, αλλά συγκεκριμέναι ως προς τας καθαράς εννοίας. Αι μαθηματικαί έννοιαι και τα σχήματα, εν αις και το σιμόν, κατέχουσι μέσην θέσιν. 3",3,1
"Σημ Σημ. Η νόησις δεν υπάρχει άνευ τον σώματος. O Αριστ. εκφράζεται ασαφώς. Η ψυχή λέγει, ότι είναι η δίδουσα εις φυσικόν τι σώμα την ατομικότητα και την σημασίαν αυτού και αποτελείται εκ της θρέψεως, κινήσεως κατά τόπον αισθήσεως, μνήμης, πάθους, φαντασίας και νου. Εκ των λειτουργιών τούτων της ψυχής μόνος ο νους είναι ίδιος εις τον άνθρωπον, αλλά και ούτος εν τη παθητική μορφή αυτού βάσιν έχει την πείραν και είναι συνδεδεμένος με την ζωήν του σώματος. Ο ποιητικός όμως νους είναι όλως χωριστός από του σώματος και αθάνατος, γινώσκει δε την αλήθειαν τας αρχάς εποπτικώς, αμέσως, ουχί ως ο παθητικός εμμέσως. Αλλ ο τοιούτος νους δεν φαίνεται έχων θέσιν εν τω ορισμώ της ψυχής, καθ ον αύτη είναι εντελέχεια σώματος φυσικού έχοντος την δύναμιν του ζην. 3",3,1
"Το κάθισμα τω δίδεται από χειρός εις χείρα άνωθεν των κεφαλών. Ο μαρκήσιος την λαμβάνει και εξαφανίζεται, αφού έστειλε μερικά φιλήματα προς τα θεωρεία. 2",3,1
"- «Τρομάρα» και «Αντάρα», η τραπεζαρία και η κρεβατοκάμαρα μου. Στη διάθεση σας, σα θέτε να τις επισκεφθείτε, είπε ο κουλός μ ένα χαμόγελο που χώριζε το στόμα του από το ένα αυτί ως το άλλο. 2",2,1
"- Όχι εδώ, βέβαια! είπε ο κουλός. Γιατί, ως τότε, θα μας έχουν έλθει και οι μουσαφιρέοι, και θα γίνουνταν κόσκινο το κορμί σου πριν βρεις την «Τρομάρα» και την «Αντάρα». Θα με βρεις όμως, - και με το χέρι έδειξε τ απάνω του ποταμού -, εκεί που το Τρελόρεμα σμίγει με το ποτάμι. 2",2,1
"- Όχι. Ο Ταλαιπωράκης ήταν σπίτι του. Πήρα το κρασί και τα μήλα που δροσίζουνταν στο παράθυρο και το βαλα στα πόδια. Τ άλλα είναι από το Δυστυχόπουλο. Έλειπε στη χώρα όπου πήγε μάρτυρας στη δίκη του Κακομοιρίδη, κι έτσι με την ησυχία μου συγύρισα το σπίτι του, και το παιδί γέλασε. Μα δεν είδες το καλύτερο, εξακολούθησε βγάζοντας από την τσέπη του ένα ασημένιο ωρολόγι. Αυτό το πήρα χθες βράδυ από την τσέπη του Κακομοιρίδη. Δεν είναι ωραίο; 2",2,1
"- Αλήθεια, πες μου, τι έκανες χθες με όλους αυτούς τους λυσσασμένους; Και τι έπαθε το κεφάλι σου; Σε χτύπησαν αυτοί; Πώς τους ξεφορτώθηκες; 3",1,1
"- Θα μείνω! είπε με λαχτάρα. Θα δουλέψω! Ναι, θα τους σώσω, έστω και αν αυτοί δεν το θέλουν. Τον τόπο μου θα τον κάνω μεγάλο, θα του ξαναδώσω ζωή ή θα πεθάνω με αυτόν. Έχε γεια, Γνώση, κι ευχαριστώ για το θάρρος που τα λόγια σου ξύπνησαν μέσα μου. Και με μεγάλα βήματα βγήκε από το δάσος, χωρίς να κοιτάξει πίσω του. 3",1,1
"Ας εξετάσωμεν λοιπόν πρώτον ποία είναι τα αντικείμενα της μνήμης. Διότι πολλάκις περί τούτου πλανάται τις. Τω όντι, το μέλλον δεν είναι δυνατόν να ενθυμώμεθα, αλλά μόνον δυνάμεθα να εικάζωμεν και να ελπίζωμεν αυτό• και δύναται να υπάρχη και επιστήμη τις της ελπίδος, η ελπιστική καθώς τινες ονομάζουσι την μαντικήν. Αλλ ούτε το παρόν δύναται να είναι αντικείμενον της μνήμης, αλλά μόνης της αισθήσεως. Διότι διά της αισθήσεως ούτε τα μέλλοντα ούτε τα παρελθόντα γινώσκομεν, αλλά μόνα τα παρόντα. Η δε μνήμη θεωρεί τα παρελθόντα, και ουδείς θα είπη ότι ενθυμείται το παρόν, ενώ είναι παρόν, ότι π.χ. ενθυμείται τούτο το λευκόν πράγμα τότε, ότε βλέπει αυτό, ή τούτο το θεωρούμενον ή νοούμενον αντικείμενον, καθ ον χρόνον θεωρεί και νοεί αυτό, αλλά εκείνο μεν λέγει ότι μόνον αισθάνεται, τούτο δε ότι γνωρίζει. Όταν δε έχη τις την επιστήμην και την αίσθησιν, ήτις δεν είναι εν ενεργεία , τότε ενθυμείται π, ότι αι τρεις γωνίαι του τριγώνου είναι ίσαι προς δύο ορθάς, είτε διότι έμαθεν ή συνέλαβε τούτο, είτε διότι ήκουσεν ή είδεν αυτό, ή διότι εύρεν αυτό διά τοιούτου τινός τρόπου. Διότι οσάκις ενεργή τις διά της μνήμης , πρέπει να λέγη ούτως εν τη ψυχή αυτού ότι πρότερον ήκουσε τούτο, ή ησθάνθη ή ενόησεν αυτό. 3",3,1
"1 Βιογραφικά Σχεδάρια των εν τοις Γράμμασιν, Ωραίαις τέχναις, και άλλοις κλάδοις του κοινωνικού βίου διαπρεψάντων Κερκυραίων από των μέσων της παρελθούσης εκατονταετηρίδος, μέχρις αρχών της ενεστώσης, μετά προσθήκης πλείστων τε και ποικίλων σημειώσεων περί της καταγωγής, του τε φιλολογικού και κοινωνικού αυτών βίου. Τεύχος  Κέρκυρα Τυπογρ. «Ο Κοραής» Ιωσήφ Ναχαμούλη, 1877 Εις ον μέγα εκ σελ 465 μετά δύο πινάκων των επί Ενετοκρατίας Δημοσίων εν Κερκύρα: Ελληνοδιδασκάλων και Λατινοδιδασκάλων. 3",3,1
"46 Με το κουδούνι στο λαιμό τα γρέμπανα επερπάτειΝτιν ντιν ντιν ντιν, κουδούνιζε ςτο νεκρικό κρεβάτι· Έσκουζε κ έκραζε σφιχτά . . . Έτσι την είδ, αγάπη μου, την όμορφη παιδούλα, κτλ. 2",2,1
"AΒ. Ολίγον δε μετά ταύτα, εις των Λεοντίνων την χώραν στρατεύσας ο Τιμολέων, συλλαμβάνει τον Ικέτην ζώντα, και τον υιόν αυτού Ευπόλεμον, και τον ίππαρχον Εύθυμον, υπό των στρατιωτών δεθέντας και εις αυτόν κομισθέντας. Και ο μεν Ικέτης και ο νεανίσκος, ως τύραννοι και προδόται τιμωρηθέντες, εθανατώθησαν. Ο δ Εύθυμος, ανήρ αγαθός ων εις τους πολέμους, και διά της τόλμης αυτού διακρινόμενος, δεν έτυχεν οίκτου, διότι κατηγορήθη ως ειπών βλασφημίαν τινά κατά των Κορινθίων. Ερρέθη δηλαδή ότι, όταν οι Κορίνθιοι εξεστράτευσαν κατ αυτών, δημηγορών εις τους Λεοντίνους, είπεν ότι ουδέν έγινε φοβερόν ή δεινόν αν 3",3,1
"G. Flaubert Ο πειρασμός του αγ. Αντωνίου Μετάφρ.  Βάρναλη Το χαρακτηριστικώτερον και φανταστικώτερον έργον του μεγάλου λογογράφου της Γαλλίας. Από το γνωστόν συναξάρι της χριστιανικής παραδόσεως, που παρουσιάζει τον μέγαν άγιον ασκητήν των αφρικανικών ερήμων ενοχλούμενον σαρκικώς και ψυχικώς υπό του πειρασμού, εδημιούργησεν ο συγγραφεύς γοητευτικήν, πολύπλοκον και περιπετειώδη διήγησιν όχι μόνον βαθύτατα ψυχολογικήν και φιλοσοφικήν, αλλά και παρέχουσαν ζωηράν εικόνα των έξεων, των ιδεωδών και των συνθηκών του βίου των πρώτων χριστιανικών αιώνων της Ανατολής. Δρ. 3",3,1
"Ύστερα δε απ αυτά συνέβη να καταντήσουν εις στασιασμόν αναμεταξύ των οι επίσημοι και ο λαός διά πολύν καιρόν, διότι το πολίτευμα ήτο και καθ όλα μεν τα άλλα ολιγαρχικόν και επί πλέον δε οι πτωχοί ήσαν υποδουλωμένοι εις τους πλουσίους και αυτοί και τα παιδιά των και αι γυναίκες των· και ωνομάζοντο πελάται και εκτήμοροι . Διότι με τοιούτου είδους μίσθωσιν ήτοι δίδοντες τα πέντε έκτα του εισοδήματος εις τον κύριον της γης εκαλλιεργούσαν τους αγρούς των πλουσίων. Όλη δε η γη ανήκεν εις ολίγους. Και αν δεν έδιδαν όλον το μίσθωμα οι γεωργοί ήσαν εκ του νόμου υποκείμενοι εις δουλείαν αυτοί και τα τέκνα των και τα χρέη εξ οιασδήποτε αιτίας επέφεραν υποχρέωσιν σωματικής δουλείας του χρεώστου έως εις τον καιρόν του Σόλωνος· αυτός δε πρώτος έγινε προστάτης της λαϊκής τάξεως. Το σκληρότατον μεν λοιπόν και πικρότατον απ όλα εις εκείνην την πολιτικήν κατάστασιν ήτο διά τους πολλούς ο τοιούτος θεσμός της δουλείας, αλλ όμως και διά τα άλλα πολιτικά πράγματα επίσης ήσαν δυσαρεστημένοι· διότι δεν είχαν καμμίαν, διά να είπωμεν ούτω, συμμετοχήν εις όλην εν γένει την διαχείρισιν της πολιτείας. 3",3,1
"Kαὶ ὁ μὲν ταῦτα πράξας ἔμελλεν ἀποπλεύσεσθαι· οἱ δὲ τοῦ δήμου προστάται πείθουσιν αὐτὸν πέντε μὲν ναῦς τῶν αὐτοῦ σφίσι καταλιπεῖν, ὅπως ἧσσόν τι ἐν κινήσει ὦσιν οἱ ἐναντίοι, ἴσας δὲ αὐτοὶ πληρώσαντες ἐκ σφῶν αὐτῶν ξυμπέμψειν. Kαὶ ὁ μὲν ξυνεχώρησεν, οἱ δὲ τοὺς ἐχθροὺς κατέλεγον ἐς τὰς ναῦς.",0,0
"Louis Büchner Δύναμις και ύλη Αι χημικαί και βιολογικαί θεωρίαι του διασήμου Γερμανού φυσιολόγου Μπύχνερ, τείνουσαι εις υποστήριξιν των υλιστικών γνωμών, διατυπούνται εις το πολύκροτον τούτο βιβλίον, άξιον μελέτης διά τον επιστημονικόν αυτού χαρακτήρα ανεξαρτήτως γνωμών και πεποιθήσεων. Δρ. 3",3,1
Note: The tonic system has been changed from polytonic to monotonic. The spelling of the book has not been changed otherwise. Footnotes have been transferred at the end of the book.// Σημείωση: Το τονικό σύστημα έχει αλλάξει από πολυτονικό σε μονοτονικό. Η ορθογραφία του βιβλίου κατά τα άλλα παραμένει ως έχει. Οι υποσημειώσεις των σελίδων έχουν μεταφερθεί στο τέλος του βιβλίου. 3,1,1
"O Αριστοτέλης δεν εκλαμβάνει κατά λέξιν τον όρον εντύπωσις. Η αντίληψις των αισθητών δεν γίνεται εν τη ψυχή κατά σχήμα τι, διότι ποίον σχήμα θα λάβωσιν εν αυτή ο ήχος, η οσμή, το χρώμα; «Καταχρηστικώτερον ουν τον τύπον φέρομεν ενταύθα απορία του κυριωτέρου». λέγει ο παραφραστής Θεμίστιος. 3",3,1
"O Δημόκριτος δε σαφέστερον εξηγήθη ειπών την αιτίαν εκάστου των δύο τούτων χαρακτηριστικών Είπε δηλ. ότι ψυχή και νους είναι το αυτό, διότι η ψυχή είναι εν εκ των πρώτων και αδιαιρέτων σωμάτων, και κινεί ένεκα της σμικρότητος των μερών αυτής και ένεκα του σχήματός της· ευκινητότατον δε εκ των σχημάτων έλεγεν ότι είναι το σφαιροειδές, και ότι τοιούτον έχει το σχήμα ο νους και το πυρ. 3",3,1
"O Ταγιαπιέρα, επιστρέφοντας από τις χώρες της Ανατολής, συνάντησε στα παράλια της Αλβανίας ένα κατεστραμμένο πλοίο. Έτσι, έμαθε ότι στην περιοχή βρισκόταν ο κουρσάρος Moro και κατευθύνθηκε προς το Δυρράχιο προκειμένου να τον αντιμετωπίσει. Η ναυμαχία ήταν σκληρή και αιματηρή: αποκεφαλίστηκε ο Boutala-Rais, ενώ ο Ταγιαπιέρα διέταξε τους μισθοφόρους του να στοχεύουν στα κεφάλια, τα πόδια και τα χέρια. Μάλιστα, οι Οθωμανοί, προκειμένου να σωθούν, σκαρφάλωναν στα πανιά και τότε οι Βενετσιάνοι άρχισαν να σημαδεύουν τα σχοινιά και τα κατάρτια. Με τις κατάλληλες στρατηγικές κινήσεις ο Ταγιαπιέρα κατάφερε να εγκλωβίσει τους εχθρούς του στην πλώρη, όπου και έδωσε το τελικό χτύπημα. Η νίκη ήταν τόσο σημαντική για τη Βενετία, που απένειμε τιμές και χρηματικές αμοιβές στον βενετό ναύαρχο Pesenti 1925, 322-. 3",1,1
"P.  Chanterie de la Saussaye Ιστορία της θρησκείας, Σινών, Ιαπώνων Μετάφρ.  Δαλεζίου Πλήρης επιστημονική και φιλολογικώς εύληπτος έκθεσις των Σινο Ιαπωνικών θρησκειών Βουδδισμού, Κονφουκιανισμού, Ταοϊσμού κλπ., κατά τε την ιστορικήν αυτών εξέλιξιν, φιλοσοφικήν, κοινωνικήν, ηθικήν, δογματικήν και την ασκουμένην ήδη λατρείαν. Πλήρης βιβλιογραφία επιτάσσεται του έργου. Δρ. 3",3,1
"Page 13 ΑΦΡ. Ἀλλὰ τὴν μὲν Ἀθηνᾶν δέδιας, ὡς φής, καὶ τὴν Γοργώ, καὶ ταῦτα οὐ φοβηθεὶς τὸν κεραυνὸν τοῦ Διός. αἱ δὲ Μοῦσαι διὰ τί σοι ἄτρωτοι καὶ ἔξω βελῶν εἰσιν; ἢ κἀκεῖναι λόφους ἐπισείουσι καὶ Γοργόνας προφαίνουσιν; 1",0,0
"Tῇ δ᾽ ὑστεραίᾳ ἠκροβολίσαντό τε ὀλίγα καὶ ἐς τοὺς ἀγροὺς περιέπεμπον ἀμφότεροι, τοὺς δούλους παρακαλοῦντές τε καὶ ἐλευθερίαν ὑπισχνούμενοι· καὶ τῷ μὲν δήμῳ τῶν οἰκετῶν τὸ πλῆθος παρεγένετο ξύμμαχον, τοῖς δ᾽ ἑτέροις ἐκ τῆς ἠπείρου ἐπίκουροι ὀκτακόσιοι.",0,0
