text,mask,Classified
"Και περιβλεψας αυτους μετ οργης , λυπουμενος δια την πωρωσιν της καρδιας αυτων , λεγει προς τον ανθρωπον Εκτεινον την χειρα σου .",1,Καθαρεύουσα
"οφθαλμους εχοντες δεν βλεπετε , και ωτα εχοντες δεν ακουετε ; και δεν ενθυμεισθε ;",1,Καθαρεύουσα
Αλλ ο Ιησους ειπεν Αφησατε αυτην δια τι ενοχλειτε αυτην ; καλον εργον επραξεν εις εμε .,1,Καθαρεύουσα
"και προς ουδεμιαν αυτων επεμφθη ο Ηλιας , ειμη εις Σαρεπτα της Σιδωνος προς γυναικα χηραν .",1,Καθαρεύουσα
"Και αφησας απαντα , εσηκωθη και ηκολουθησεν αυτον .",0,---
"Αφου δε ανεχωρησαν οι απεσταλμενοι του Ιωαννου , ηρχισε να λεγη προς τους οχλους περι του Ιωαννου Τι εξηλθετε εις την ερημον να ιδητε ; καλαμον υπο ανεμου σαλευομενον ;",1,Καθαρεύουσα
"Υπηρξεν ανθρωπος απεσταλμενος παρα Θεου , ονομαζομενος Ιωαννης",0,---
"Εγω λαλω ο , τι ειδον πλησιον του Πατρος μου και σεις ομοιως καμνετε ο , τι ειδετε πλησιον του πατρος σας .",1,Καθαρεύουσα
"Και αφου ειπε ταυτα , βλεποντων αυτων ανεληφθη , και νεφελη υπελαβεν αυτον απο των οφθαλμων αυτων .",1,Καθαρεύουσα
"Ητο δε τις μαθητης εν Δαμασκω Ανανιας ονομαζομενος , και ειπε προς αυτον ο Κυριος δι οραματος Ανανια Ο δε ειπεν Ιδου εγω , Κυριε .",1,Καθαρεύουσα
"ουτος ξενιζεται παρα τινι Σιμωνι βυρσοδεψη , εχοντι οικιαν πλησιον της θαλασσης .",0,---
"Ακουσας δε ταυτα ο Φηλιξ ανεβαλε την κρισιν αυτων , επειδη ηξευρεν ακριβεστερα τα περι της οδου ταυτης , και ειπεν Οταν Λυσιας ο χιλιαρχος καταβη , θελω αποφασισει περι της διαφορας σας ,",1,Καθαρεύουσα
"Ο Φηστος λοιπον , αφου ηλθεν εις την επαρχιαν , μετα τρεις ημερας ανεβη εις Ιεροσολυμα απο της Καισαρειας .",1,Καθαρεύουσα
"Οτε δε ηλθεν η δεκατη τεταρτη νυξ , ενω παρεφερομεθα εν τη Αδριατικη θαλασση , περι το μεσον της νυκτος εσυμπεραινον οι ναυται οτι πλησιαζουσιν εις τοπον τινα .",1,Καθαρεύουσα
"Διοτι εαν τα εθνη εγειναν συγκοινωνοι αυτων εις τα πνευματικα , χρεωστουσι να υπηρετησωσιν αυτους και εις τα σωματικα .",1,Καθαρεύουσα
"διοτι καθως περισσευουσι τα παθηματα του Χριστου εις ημας , ουτω δια του Χριστου περισσευει και η παρηγορια ημων .",1,Καθαρεύουσα
"Αρχιζομεν παλιν να συνιστωμεν εαυτους ; η μηπως εχομεν χρειαν , καθως τινες , συστατικων επιστολων προς εσας η συστατικων απο σας ;",1,Καθαρεύουσα
"Διοτι δεν υπερεκτεινομεν εαυτους ως μη φθασαντες εις εσας. επειδη εως και εις εσας εφθασαμεν δια του ευαγγελιου του Χριστου ,",1,Καθαρεύουσα
"ο δε μεσιτης δεν ειναι ενος , ο Θεος ομως ειναι εις .",0,---
"Εν αυτω , εις τον οποιον και ελαβομεν κληρονομιαν , προορισθεντες κατα την προθεσιν του ενεργουντος τα παντα κατα την βουλην του θεληματος αυτου ,",1,Καθαρεύουσα
μητε διδετε τοπον εις τον διαβολον .,0,---
Ουτω χρεωστουσιν οι ανδρες να αγαπωσι τας εαυτων γυναικας ως τα εαυτων σωματα .,0,---
"Εστοχασθην ομως αναγκαιον να πεμψω προς εσας τον Επαφροδιτον τον αδελφον και συνεργον και συστρατιωτην μου , απεσταλμενον δε απο σας και υπηρετησαντα εις την χρειαν μου ,",1,Καθαρεύουσα
"οπου δεν ειναι Ελλην και Ιουδαιος , περιτομη και ακροβυστια , βαρβαρος , Σκυθης , δουλος , ελευθερος , αλλα τα παντα και εν πασιν ειναι ο Χριστος .",1,Καθαρεύουσα
"Διοτι οι κοιμωμενοι την νυκτα κοιμωνται , και οι μεθυοντες την νυκτα μεθυουσιν .",0,---
Η χαρις του Κυριου ημων Ιησου Χριστου ειη μεθ υμων αμην .,0,---
"Το δε Πνευμα ρητως λεγει οτι εν υστεροις καιροις θελουσιν αποστατησει τινες απο της πιστεως , προσεχοντες εις πνευματα πλανης και εις διδασκαλιας δαιμονιων ,",1,Καθαρεύουσα
"Διοτι εαν ο Ιησους σου Ναυη ειχε δωσει εις αυτους καταπαυσιν , δεν ηθελε μετα ταυτα λαλει περι αλλης ημερας .",1,Καθαρεύουσα
"οστις δεν εχει καθ ημεραν αναγκην , ως οι αρχιερεις να προσφερη προτερον θυσιας υπερ των ιδιων αυτου αμαρτιων , επειτα υπερ των του λαου διοτι απαξ εκαμε τουτο , οτε προσεφερεν εαυτον .",1,Καθαρεύουσα
"Και δια τουτο ειναι μεσιτης διαθηκης καινης , ινα δια του θανατου , οστις εγεινε προς απολυτρωσιν των επι της πρωτης διαθηκης παραβασεων , λαβωσιν οι κεκλημενοι την επαγγελιαν της αιωνιου κληρονομιας .",1,Καθαρεύουσα
"αλλα προσηλθετε εις ορος Σιων και εις πολιν Θεου ζωντος , την επουρανιον Ιερουσαλημ , και εις μυριαδας αγγελων ,",1,Καθαρεύουσα
"εις πανηγυριν και εκκλησιαν πρωτοτοκων καταγεγραμμενων εν τοις ουρανοις , και εις Θεον κριτην παντων , και εις πνευματα δικαιων οιτινες ελαβον την τελειοτητα ,",1,Καθαρεύουσα
"Διοτι ουτω ποτε και αι αγιαι γυναικες αι ελπιζουσαι επι τον Θεον εστολιζον εαυτας , υποτασσομεναι εις τους ανδρας αυτων ,",1,Καθαρεύουσα
"Ειναι τολμηται , αυθαδεις , δεν τρεμουσι βλασφημουντες τα αξιωματα ,",0,---
"Θελω δε να σας υπενθυμισω , αν και σεις εγνωρισατε ηδη τουτο , οτι ο Κυριος , αφου εσωσε τον λαον εκ γης Αιγυπτου , απωλεσεν υστερον τους μη πιστευσαντας .",1,Καθαρεύουσα
"Και η φωνη , την οποιαν ηκουσα εκ του ουρανου , παλιν ελαλει μετ εμου και ελεγεν Υπαγε , λαβε το βιβλιαριον το ανεωγμενον εν τη χειρι του αγγελου του ισταμενου επι της θαλασσης και επι της γης .",1,Καθαρεύουσα
"Στο, εν λόγω, τιμολόγιο θα αναγράφεται ο ακριβής αριθμός των φιαλών στην προκαθορισθείσα, από την προσφορά του, τιμή ανά φιάλη, η οποία θα παραμείνει αμετάβλητη καθ όλη τη διάρκεια ισχύος της παρούσας σύμβασης.",1,Καθαρεύουσα
"Το γεγονός ότι από τις διατάξεις της παρούσας απόφασης προκαλείται, για τα οικονομικά έτη 2019-2022, δαπάνη σε βάρος του Π/ Υ εξόδων της Α.Ε.Μ.Υ.",1,ΚΝΕ
"Κέντρο Πληροφόρησης Λιμνών Χειμαδίτιδας &amp; Ζάζαρης (Άγιοι Ανάργυροι, Ν. Φλώρινας)",0,---
67063 Πόρτο Λάγος Ξάνθης,0,---
"Κέντρο Πληροφόρησης Εθνικού Πάρκου Λιμνών Κορώνειας-Βόλβης και Μακεδονικών Τεμπών (Απολλωνία, Ν. Θεσσαλονίκης)",0,---
"Το Κέντρο Πληροφόρησης για το Όρος Μαίναλο βρίσκεται στο χωριό Κάψια του Νομού Αρκαδίας, λίγα χιλιόμετρα από την πόλη της Τρίπολης και στεγάζεται στο παλιό δημοτικό σχολείο του οικισμού.",1,Καθαρεύουσα
Υποβάθμιση του παραποτάμιου δάσους.,0,---
"Το βάθος της είναι περίπου 500 μέτρα, το μήκος της 8 χιλιόμετρα, ενώ το πλάτος της κυμαίνεται από 300 έως 500 μέτρα.",1,Καθαρεύουσα
Τα ακαδημαϊκά και ερευνητικά του ενδιαφέροντα περιλαμβάνουν την προώθηση της ...,0,---
"Τον Σεπτέμβριο του 1993 μεγάλη πυρκαγιά κατέκαψε τη Βάλια Κάλντα με αποτέλεσμα να καταστραφούν μεγάλες δασικές εκτάσεις μαύρης πεύκης και οξιάς (Τα Νέα 1/ 9/1993, Ελεύθερος 3/ 9/.",1,Καθαρεύουσα
"2005 Υποτροφία-Scholarship (υποτροφία για μεταπτυχιακές σπουδές στις ΗΠΑ), Fulbright Foundation in Greece (not accepted)",0,---
Δεν επιτρέπεται σχολιασμός στο Άρθρο 31 - Τροποποίηση του άρθρου 52 του  4602/ 2019 - ΕΑΓΜΕ Άρθρο 31 - Τροποποίηση του άρθρου 52 του  4602/ 2019 - ΕΑΓΜΕ,1,Καθαρεύουσα
"Για να βεβαιωθούμε για την καλή ανάπτυξη του φυτού και για την μέγιστη ωρίμανση των καρπών του, το αμπέλι θα πρέπει να έχει ζέστη, φως, νερό όλα αυτά όμως στις κατάλληλες δόσεις.",1,Καθαρεύουσα
Ο ρόλος της κίνησης των ανοικτών δεδομένων,0,---
"ακολουθούν συνοπτικά σχόλια του Συλλόγου Διπλωματούχων Μηχανικών Ομίλου ΔΕΗ (και ΑΔΜΗΕ, ΔΑΠΕΕΠ, ΕΧΕ) για το",1,Καθαρεύουσα
"Υπήρξαν κάποιες φωνές για θετική δράση, απηχώντας το αίτημα του πρωθυπουργού για συνεργασία μεταξύ των Ελλήνων.",1,Καθαρεύουσα
Που θα οδηγηθούν οι εταιρείες;,0,---
Κατάλαβες;,0,---
Το χρέος μειώνεται 100 δισ για να πάρουμε δάνειο,0,---
Μαθητές σε παρέλαση στον Πολύγυρο της Χαλκιδικής γύρισαν με συγχρονισμένο βήμα την πλάτη τους στους επισήμους βαδίζοντας επιτόπου και στη Θράκη οι μαθητές εγκατέλειψαν την παρέλαση και ενώθηκαν με διαδηλωτές.,1,Καθαρεύουσα
"Χωρίς παράθυρα, χωρίς προαύλιο.",0,---
@Matina Stevis Το κοινωνικό δικαίωμα στη δημόσια υγεία υπερέχει της προστασίας των προσωπικών δεδομένων (Νόμος 3418/,1,Καθαρεύουσα
"Αφού ο βουλευτής Δρίτσας του ΣΥ.ΡΙΖ.Α διαπραγματεύτηκε με τον διοικητή τον αριθμό των ανθρώπων, στους οποίους θα επιτρεπόταν η είσοδος, μπήκαμε μέσα και έγραψα στο Twitter:",1,Καθαρεύουσα
"Πρώτη φορά πολιτικός όρκος, πρώτη φορά πρωθυπουργός χωρίς γραβάτα, πρώτη φορά που κάποιοι έχουν κλάσει μέντες. - Δε Στρέηντζερ (@The_Stranger_gr) January 27, 2015",1,Καθαρεύουσα
"Το μήνυμα ήταν ένα: «η ελπίδα νίκησε», και ο κόσμος βγήκε στους δρόμους της Αθήνας να πανηγυρίσει για την αλλαγή στο πολιτικό σκηνικό της χώρας.",1,Καθαρεύουσα
Ελπίζω ότι δεν θα έρθει κάποτε και η δοκιμασία του ελέφαντα !,0,---
Ο δημοσιογράφος Κώστας Βαξεβάνης σχολιάζει:,0,---
Πολύ καλά κύριε Posselt .,0,---
"Το Συμβούλιο "" πολιτισμός » , υπό την προεδρία του Λουξεμβούργου , πρέπει εκ νέου , στις 24 Νοεμβρίου να επανεξετάσει μία συμβιβαστική πρόταση .",1,Καθαρεύουσα
Το πρώτο μου ερώτημα είναι τόσο απλό .,0,---
"Δύο ερωτήσεις προς την Επιτροπή : Είναι ενήμερη σχετικά με το κείμενο συμβιβασμού της Προεδρίας του Λουξεμβούργου και , εάν ναι , ποια είναι η θέση της ;",1,Καθαρεύουσα
"Διότι ένα : από τα δύο ή στο μεγαλύτερο μέρος των περιπτώσεων ναρκωτικών η διακίνηση έχει εξωευρωπαϊκή καταγωγή και είναι πάντα διεθνής , ή δεν κατανοώ πώς είναι δυνατό να θέλουμε να τιμωρήσουμε πιο αυστηρά τη διασυνοριακή διακίνηση από τη σοβαρή διακίνηση που πραγματοποιείται στο εσωτερικό κάθε κράτους μέλους .",1,Καθαρεύουσα
"Για τον λόγο αυτόν , είναι επιτέλους καιρός να καταφέρουμε να συμπεριλάβουμε τις εξωτερικές δαπάνες των επιχειρήσεων των βαρέων φορτηγών οχημάτων στο ευρωπαϊκό αυτοκόλλητο σήμα .",1,Καθαρεύουσα
"Από νομικής άποψης , είναι συζητήσιμο το εάν απωλέσαμε έδαφος στο πεδίο της συναπόφασης ή όχι .",1,Καθαρεύουσα
"Σύμφωνα με εκτίμηση του Economist την προηγούμενη εβδομάδα , στη χώρα μου , το Ηνωμένο Βασίλειο , το ένα από τα δύο εκατομμύρια των μουσουλμάνων που ζουν εκεί , είναι αλλοδαποί .",1,Καθαρεύουσα
"Και επομένως , στον ορισμό αυτό , δεν περιλαμβάνεται η προσωπική κατανάλωση ναρκωτικών ούτε η μη κερδοσκοπική συναλλαγή με σκοπό την προσωπική κατανάλωση .",1,Καθαρεύουσα
"Αυτή η κατάσταση θα συνεχιστεί αν δεν αποκατασταθεί η πολιτική σταθερότητα στη χώρα , αν δεν αποκατασταθούν οι κρατικές δομές και αν δεν αναλάβει καθήκοντα μια αποτελεσματική κυβέρνηση .",1,Καθαρεύουσα
Τώρα έχουμε δικαίωμα και ευθύνη να διορθώσουμε τα κακώς κείμενα στην κοινωνία και να διευθετήσουμε τα του οίκου μας .,1,Καθαρεύουσα
"Πέρα από μία ευνοϊκή οικονομική συγκυρία , η ανάγκη για διαρθρωτικές προσαρμογές επιβεβαιώθηκε τόσο στο Αμστερνταμ όσο και στο Ντένβερ .",1,Καθαρεύουσα
"Ωστόσο , η νησιωτική αυτή χώρα δεν χρειάζεται μόνον υλική και οικονομική βοήθεια , αλλά και την ανασυγκρότηση των διοικητικών της υπηρεσιών , καθώς και πολιτική σταθερότητα , χωρίς τις οποίες δεν θα μπορέσει να αναπτυχθεί .",1,Καθαρεύουσα
"Είμαι ιδιαίτερα ικανοποιημένος για το γεγονός ότι συμφωνήσαμε για το 2012 , ως την ημερομηνία έναρξης λειτουργίας του συστήματος .",1,Καθαρεύουσα
"Πρέπει πραγματικά να είμαστε ρεαλιστές όσον αφορά την εκτίμηση της κατάστασης , γιατί ακόμη και αν καταφέρουμε να πείσουμε τους Αμερικανούς να συμμετέχουν στο σύστημα εμπορίας εκπομπών , θα εξακολουθήσουμε να αντιμετωπίζουμε πολλές άλλες χώρες στον κόσμο και προσωπικά δεν είμαι σίγουρος αν πρόκειται ποτέ να αρχίσουμε να συνομιλούμε μαζί τους .",1,Καθαρεύουσα
"Αν η ακολουθούμενη πολιτική παραμείνει ως έχει , η εξέλιξη αυτή θα οδηγήσει σε μακροπρόθεσμη επιδείνωση των δημόσιων οικονομικών και οι δαπάνες συνταξιοδότησης ενδέχεται να φτάσουν στο 3 με 4 % του ΑΕΠ από σήμερα μέχρι το 2030 .",1,ΚΝΕ
"Είμαι επίσης ικανοποιημένος για το γεγονός ότι έχει διατηρηθεί κάποια ισορροπία , καθώς πράγματι πηγαίνουμε πίσω στα έτη 2004 έως και 2006 ως ημερομηνίες αναφοράς για τη χορήγηση πιστοποιητικών , αλλά υπήρξαμε πολύ λογικοί θέτοντας ως όριο το 97 % και το 95 % και μέσω της χορήγησης αρχικά του 85 % των πιστοποιητικών δωρεάν , μόνο με το 15 % να πρέπει να δημοπρατηθεί .",1,Καθαρεύουσα
"Το κόστος για τους επιβάτες , τους πράκτορες μεταφορών και τις αεροπορικές εταιρείες θα συνδεθεί άμεσα με τις εκπομπές που προκαλούν και οι κυβερνήσεις δεν θα μπορούν να δικαιολογηθούν , προσπαθώντας να καλύψουν τα ελλείμματα των ταμείων τους με πλαστούς οικολογικούς φόρους όσον αφορά τις αερομεταφορές και το κοινό που ταξιδεύει .",1,Καθαρεύουσα
Η Διάσκεψη Κορυφής των Οκτώ στο Ντένβερ χαρακτηρίστηκε από την απουσία θετικών αποφάσεων για την Ευρώπη και από μια α λα cowboy βραδιά στο κλίμα της αμερικανικής παγκόσμιας τάξης πραγμάτων .,1,Καθαρεύουσα
"Η λιτότητα όμως οφείλει να συνοδεύεται από μια καλή δημοσιονομική διαχείριση , που απαιτεί υποχρεωτικά μεγαλύτερη διοργανική συνεργασία και καλύτερη χρήση των τεχνολογικών πόρων , εφόσον η ταχεία ηλεκτρονική μεταφορά πληροφοριών , ακριβώς όπως μόλις σχολίασε ο κ . Τomlinson , θα αυξήσει την αποτελεσματικότητα των πραγματοποιούμενων εργασιών .",1,Καθαρεύουσα
Ελπίζω και έχω εμπιστοσύνη οτι αυτό το Σώμα θα απορρίψει την πρόταση .,0,---
"Κύριε Πρόεδρε , θα ήθελα να συγχαρώ τον κ . Tomlinson για το θετικό πνεύμα που χαρακτήρισε την ομιλία του στο Σώμα όσον αφορά τις οικονομίες που πρέπει να γίνουν , και θα ήθελα επίσης να συγχαρώ την Επιτροπή Προϋπολογισμών και το Προεδρείο , μέλος του οποίου είμαι και εγώ ο ίδιος , για το γεγονός ότι συμφωνούμε να διατηρηθούν τα οδοιπορικά έξοδα κ.λπ. των μελών στο ίδιο επίπεδο με εκείνο του περασμένου έτους , ή μάλλον να διατηρηθούν τα έξοδα αυτά τον επόμενο χρόνο στο ίδιο επίπεδο με το φετεινό .",1,Καθαρεύουσα
Και τα δύο αυτά σημεία τονίζονται επίσης από την Επιτροπή .,0,---
"Πρόκειται , κατ ουσίαν , για μια ανταλλαγή πληροφοριών .",0,---
"To GSM επιβάλλεται παγκόμια και εάν θέλει κανείς σήμερα να τηλεφωνήσει στη Σλοβακία ή τη Ρωσία , με το GSM μπορεί .",1,Καθαρεύουσα
"Η ιδέα να συνδεθούν τα σχολεία με την Internet , να δημιουργηθεί ένα ευρύ δίκτυο πολυμέσων για τη διδασκαλία και τις νέες εφρμογές , η ιδέα προώθησης της πρωτοβουλίας « Πολίτες της Ευρώπης » με περαιτέρω προγράμματα , είναι όλες εξαιρετικές ιδέες τις οποίες εξάλλου οι Ηνωμένες Πολιτείες , από την πλευρά τους , έχουν ήδη δρομολογήσει .",1,Καθαρεύουσα
"Όλα στηρίζονται στην αποκαλούμενη έκθεση JEFCA , του 1987 .",0,---
"Διαβάζουμε ότι πρέπει οι εργαζόμενοι , οι καταναλωτές , οι τάδε και οι δείνα εκπρόσωποι να μετάσχουν στην τυποποίηση κ.τ.λ.",1,Καθαρεύουσα
Η ημερήσια διάταξη προβλέπει την συζήτηση επί της δήλωσης της Επιτροπής για τις εισαγωγές κρέατος με ορμόνες στην Ευρωπαϊκή Ενωση ( ΠΟΕ ) .,1,Καθαρεύουσα
Επικροτούμε το γεγονός ότι διατέθηκαν στην αγορά αποθέματα παρέμβασης δημητριακών .,0,---
"Στη Δανία , βίαιες πράξεις ρατσισμού στρέφονται κατά της δημοκρατίας και των ανθρωπίνων δικαιωμάτων .",1,Καθαρεύουσα
Η ίδια διαδικασία προϋπολογισμού του 1997 προβλέπει μία μείωση των πιστώσεων πληρωμών των διαρθρωτικών ταμείων εξαιτίας της μη πλήρους χρήσης .,1,ΚΝΕ
"Πρέπει μόνο να ελπίζουμε ότι ο τελικός προορισμός τους θα είναι η αγορά της ΕΕ , διαφορετικά δεν θα βοηθήσουν τον τομέα της κτηνοτροφίας .",1,Καθαρεύουσα
"Όσο το κόστος των εισροών συνεχίζει να μεγαλώνει και οι επιπλέον κανονιστικές απαιτήσεις συνεχίζουν να αυξάνονται , πολλοί γεωργοί θα αποχωρήσουν από τον κλάδο , πράγμα που θα επιφέρει εγκατάλειψη της γης , έλλειψη οικονομικής δραστηριότητας στις αγροτικές περιοχές και μείωση της παραγωγής τροφίμων σε ολόκληρη την ΕΕ .",1,ΚΝΕ
"Όλα αυτά πρέπει να συνδυαστούν με το υψηλότερο δυνατό επίπεδο ασφάλειας για τους καταναλωτές με τη μορφή συνολικών υπηρεσιών υγείας για τα ζώα και σαφούς επισήμανσης όλων των ζωικών τροφίμων , ιδιαίτερα όσον αφορά την προέλευσή τους και τον τρόπο με τον οποίο εκτρέφονται τα ζώα . """,1,ΚΝΕ
Ας εφαρμόσουμε νέα μέτρα για τη ρύθμιση της παραγωγής .,0,---
Ας αναλάβουμε δράση για να σταματήσει αυτή η απαράδεκτη κερδοσκοπία στον τομέα των δημητριακών .,1,Καθαρεύουσα
Yπάρχει άμεση σχέση μεταξύ της ολοένα και συχνότερα εμφανιζόμενης απόρριψης της Eυρωπαϊκής Ένωσης και της επίγνωσης αυτού του κακού .,1,Καθαρεύουσα
"Εκτιμούν το πολύ χαμηλότερο επίπεδο αναταραχής στη Λευκορωσία , σε σύγκριση με πολλές άλλες πρώην σοβιετικές δημοκρατίες .",1,Καθαρεύουσα
"Χρειαζόμαστε τελικά έναν σαφή ορισμό του δικαιώματος στο άσυλο , η οποία θα συνδέεται στενά με τη Σύμβαση της Γενεύης , προκειμένου να τεθεί τέλος στην οικονομική μετανάστευση .",1,Καθαρεύουσα
"Μια προεκλογική εκστρατεία που στερεί από την αντιπολίτευση οποιαδήποτε δυνατότητα παρουσίασης των υποψηφίων της σε όλη τη χώρα και μεταβάλλει τους όρους τόσο θεμελιωδώς , ώστε ακόμα και μια καλά οργανωμένη αντιπολίτευση δεν κατορθώνει να εκλέξει ούτε έναν υποψήφιο , δεν παραπέμπει σε δίκαιες και δημοκρατικές , εκλογές .",1,Καθαρεύουσα
Νομίζω ότι αξίζει να εντοπιστεί ο συντάκτης αυτής της συμβιβαστικής ανατολικής πολιτικής .,0,---
"Πρέπει να δούμε τις δύο αυτές εκθέσεις - τις εκθέσεις Theato και Wemheuer - ως συνεκτική απάντηση σε ένα μοναδικό πρόβλημα : η έκθεση Wemheuer απευθύνεται προς την Επιτροπή , ενώ η συνέχεια της διάσκεψής σας απευθύνεται κατά κύριο λόγο στα κράτη μέλη .",1,Καθαρεύουσα
Η εγκληματικότητα δεν έχει σύνορα .,0,---
Πώς να εξηγηθεί αυτή η έλλειψη μαχητικότητας ;,0,---
"Υπό τις συνθήκες που περιέγραψα προηγουμένως , μπορέσαμε να παρατηρήσουμε τη διενέργεια μιας ψηφοφορίας η οποία , αν και σωστή από τεχνικής άποψης , από πολιτικής σκοπιάς όμως δεν ήταν και τόσο ικανοποιητική .",1,Καθαρεύουσα
"Η κατάσταση , όμως , έχει , πλέον , διαμορφωθεί κατά τρόπο τέτοιο ο οποίος να καθιστά , επιτέλους , δυνατή την πραγματική συνεργασία .",1,Καθαρεύουσα
