paragraphs,type,source_file
"## Δραστηριότητα 1. Διαχείριση θεμάτωνΑπό τον Πίνακα Ελέγχου επιλέγουμε από το μενού πλοήγησης: Εμφάνιση t Θέματα που μας οδηγεί στην σελίδα Διαχείρισης θεμάτων. Εκεί βλέπουμε ότι το θέμα Twenty Fourteen είναι το ενεργό, δηλαδή αυτό που χρησιμοποιείται αυτή τη στιγμή (Εικόνα 2.6).Εικόνα 2.6 Σελίδα διαχείρισης θεμάτωνΕμείς θα πατήσουμε το Twenty Thirteen και στο παράθυρο που θα μας ανοίξει, θα επιλέξουμε « Ενεργοποίηση ». Αυτόματα γυρνάμε στη σελίδα Διαχείρισης θεμάτων και βλέπουμε ότι το θέμα Twenty Thirteen είναι το ενεργό. Πατάμε επάνω του για να δούμε τις λεπτομέρειες του θέματος και να διαμορφώσουμε την εμφάνιση του ιστότοπού μας. Στην οθόνη θα εμφανιστεί το παράθυρο πουφαίνεται στην Εικόνα 2.7. Επιλέγουμε « Προσαρμογή » κι από το μενού, που εμφανίζεται αριστερά στην οθόνη, διαμορφώνουμε τον ιστότοπό μας:- 1. Αλλάζουμε τον τίτλο του ιστότοπου σε «Δοκιμαστικός ιστότοπος». - 2. Αλλάζουμε τον υπότιτλο με το ονοματεπώνυμό μας. - 3. Διαλέγουμε όποιο χρώμα θέλουμε για τα γράμματα του κειμένου της κεφαλίδας. - 4. Επιλέγουμε μια εικόνα για την κεφαλίδα διαλέγοντας μια από τις προτεινόμενες ή βρίσκοντας μια στο διαδίκτυο, αποθηκεύοντας τη στον υπολογιστή μας και τέλος μεταφορτώνοντας τη στο WordPress επιλέγοντας « Προσθήκη νέας εικόνας ».",,paper_241.md
## ΥΜΝΟΣ,,paper_788.md
"<body><br> <b> <font size= +1 >ΠΙΝΑΚΑΣ 1 </font> </b><table ALIGN = LEFT BΟRDER = 5 BGCOLOR = ""#FFFFE0""",,paper_509.md
"## Α.7.2. Απόλυτη τιμή ρητού - Αντίθετοι ρητοί - Σύγκριση ρητών- 3. (α) Σ, (β) Λ, (γ) Σ, (δ) Σ, (ε) Λ. - 4. (α) 7,25, (β) 2,5, (γ) 16, (δ) 20,05, (ε) 58.",,paper_136.md
"## 1.5.8.1 Ο Τουρισμός ΕκθέσεωνΣ' αυτή τη μορφή τουρισμού, κατατάσσονται όλα τα είδη εκθέσεων, γενικών ή κλαδικών, εμπορικών ή μη, που οργανώνονται συνήθως σε μεγάλα αστικά κέντρα που διαθέτουν κατάλληλους εκθεσιακούς και βοηθητικούς χώρους, εξοπλισμό κ.τ.λ.Τα Τουριστικά Γραφεία προωθούν αυτή την τουριστική μορφή, γιατί ο χρόνος διεξαγωγής των εκθέσεων, στο μεγαλύτερο ποσοστό, είναι εκτός περιόδου τουριστικής αιχμής, γεγονός που βοηθά τη χρονική διεύρυνση των εργασιών τους.Ο τουρισμός εκθέσεων συνδυάζεται με τον τουρισμό πόλης και το μορφωτικό τουρισμό.ΕΙΚΟΝΑ 1.7: Τουρισμός Εκθέσεων",,paper_387.md
"## Ο Χριστός και το ανθρώπινο σώμαΗ Εκκλησία προσδοκά τη σωτηρία του ανθρώπου , δηλαδή συνολικά της ανθρώπινης ύπαρξης. Δεν διδάσκει, δηλαδή, τη σωτηρία μόνο της ψυχής. « Προσδοκῶ ἀνάστασιν νεκρῶν », ομολογούν οι Χριστιανοί στο Σύμβολο της Πίστεως.Ο Χριστός προσέλαβε πλήρη την ανθρώπινη φύση, πράγμα που σημαίνει ότι προσέλαβε και ανθρώπινη ψυχή και ανθρώπινο σώμα. Και όταν αναστήθηκε δεν εγκατέλειψε το σώμα του.Το αναστημένο του σώμα παρέμενε υλικό, αλλά πλέον ελεύθερο από τη φθορά. Ο ίδιος ο Χριστός διαβεβαίωσε τους μαθητές του γι' αυτό, όταν, μετά την ανάστασή του, τους εμφανίστηκε. Τα σημάδια των καρφιών στα χέρια και στα πόδια του, όπως και το σημάδι του λογχισμού στο πλευρό του, έδειχναν ότι συνέχισε να έχει το δικό του σώμα, όμως πλέον αυτό το σώμα δεν περιοριζόταν από τον χώρο και τον χρόνο. Εμφανίστηκε μέσα στο δωμάτιο όπου ήταν μαζεμένοι οι μαθητές, και όπου οι πόρτες ήταν κλειστές. Έφαγε μπροστά στους έκπληκτους μαθητές του για να τους δείξει",,paper_800.md
"## 1.1. Ιστορία της μικροβιολογίαςΗ Μικροβιολογία αποτελεί έναν από τους νέους σχετικά κλάδους των βιολογικών επιστημών.Η ιστορία της αρχίζει πριν από 300 περίπου χρόνια, όταν, για πρώτη φορά, ο άνθρωπος παρατήρησε τα μεγαλύτερα σε μέγεθος ""μικρόβια"", ονομασία που καθιέρωσε το 1878 ο Γάλλος γιατρός Sedilot.Η καθυστέρηση στη συνάντηση αυτή του ανθρώπου με τα μικρόβια αποδίδεται στο πολύ μικρό μέγεθός τους, που τα έκανε αόρατα από το γυμνό μάτι. Αξιοσημείωτο είναι ότι την ύπαρξή τους είχαν υποψιασθεί οι αρχαίοι Έλληνες και υπάρχουν αναφορές στα Ιπποκρατικά κείμενα, αλλά και στον Αριστοτέλη για ""Δαιμόνια"" ή ""Μιάσματα"", που, όταν ""έμπαιναν"" στο σώμα, προκαλούσαν νόσο.Εικόνα 1.1 Ο A.V.Leeuwenhoek (1632 -1723) με το μικροσκόπιό του και σχεδιάσματα μικροβίων του στόματοςΗ χρησιμοποίηση του πρώτου αυτοσχέδιου μικροσκοπίου από τον Ολλανδό έμπορο Antony Van Leeuwenhoek (Λέβενχουκ) (1632 -1723) (Εικ. 1.1) και η περιγραφή στα 1680 των μεγαλύτερων σε μέγεθος μικροβίων (animalculus -ζωάρια) εδραιώνει τον κλάδο της Μικροβιολογίας και αποτελεί τον πρώτο μεγάλο σταθμό στην ιστορία της .",,paper_722.md
Άσκηση με αντίσταση για την ενδυνάμωση των καμπτήρων του αγκώνα με ειδικό λάστιχο. (5.23)Το άτομο από ύπτια θέση κάνει άσκηση για να ενδυναμώσει τους μύες της ποδοκνημικής με τη βοήθεια ειδικού λάστιχου. (5.24)Εικ. 5.16. Άσκηση με αντίσταση από τα χέρια του θεραπευτή για ενδυνάμωση των καμπτήρων του γόνατοςΕικ. 5.17. Άσκηση ενδυνάμωσης καμπτήρων γόνατος με πρόσθετο βαρίδιοΕικ. 5.18. Άσκηση με αντίσταση για τον ώμο στον τροχόΕικ. 5.20. Άσκηση ενδυνάμωσης άνω άκρων και θώρακος σε μηχάνημα ενδυνάμωσης που προσφέρει ρυθμιζόμενη αντίστασηΕικ. 5.21. Άσκηση ενδυνάμωσης εκτεινόντων γόνατος σε μηχάνημα ρυθμιζόμενης αντίστασηςΕικ. 5.19. Άσκηση ενδυνάμωσης για τη ράχη σε μηχάνημα με ρυθμιζόμενη αντίστασηΕικ. 5.22. Άσκηση ενδυνάμωσης καμπτήρων γόνατος με θεραπευτικά λάστιχα που προσφέρουν αντίσταση. Ο θεραπευτής επιλέγει και υποστηρίζει την άσκησηΕικ. 5.23. Άσκηση με αντίσταση που προσφέρεται από ειδικό λάστιχο για ενδυνάμωση των καμπτήρων του αγκώναΕικ. 5.24. Άσκηση με αντίσταση για ενδυνάμωση των πελματιαίων καμπτήρων της ποδοκνημικής,,paper_700.md
ÎÎ · Î ÈÈ,,paper_114.md
"Πάτρα, 10 Μαΐου 19..",,paper_391.md
## 7). Ειδικές οδηγίες (εντολές),,paper_760.md
7 12,,paper_136.md
"## 10.7. ΕΡΩΤΗΣΕΙΣ ΚΑΙ ΑΣΚΗΣΕΙΣ ΠΡΟΣ ΛΥΣΗ- 1. Ποιοι είναι οι βασικότεροι τύποι συνδεσμολογίας των τριφασικών κυκλωμάτων που αποτελούνται από πηγές και καταναλωτές; - 2. Καταναλωτής συνδεδεμένος σε αστέρα συνδέεται σε τριφασική τάση 380V. Ποια είναι η πολική τάση και ποια είναι η φασική τάση; - 3. Καταναλωτής συνδεδεμένος σε τρίγωνο συνδέεται σε τριφασική τάση 220V. Ποια είναι η πολική τάση και ποια είναι η φασική τάση; - 4. Ποια είναι η διαφορά φάσης μεταξύ των τάσεων σε ένα τριφασικό σύστημα; - 5. Ποια είναι η διαφορά φάσης μεταξύ των ρευμάτων σε ένα τριφασι -κό σύστημα; - 6. Σχεδιάστε ένα τριφασικό κύκλωμα με πηγή τάσης συνδεδεμένη σε αστέρα και καταναλωτή συνδεδεμένο σε τρίγωνο (σύνδεση ''Υ-Δ''). - 7 . Σχεδιάστε ένα τριφασικό κύκλωμα με πηγή τάσης συνδεδεμένη σε τρίγωνο και καταναλωτή συνδεδεμένο σε αστέρα (σύνδεση ''Δ-Υ'').- 8. Ένα τριφασικό κύκλωμα αποτελείται από συμμετρικό καταναλωτή συνδεδεμένο σε ''Υ'' με 100Ω σε κάθε φάση, Σχήμα 10.4. Η πηγή εναλλασσόμενης τάσης είναι 380V και 50Hz. Υπολογίστε το φασι -κό ρεύμα.",,paper_529.md
## Η αερόβια άσκηση είναι πολύ καλή για…,,paper_197.md
342,,paper_391.md
Καραβέλη ΆνναΔρ. Φιλόλογος Καθηγήτρια Δευτεροβάθμιας Εκπαίδευσης,,paper_249.md
"Σχ. 4.51Με ένα ευαίσθητο γαλβανόμετρο μπορούμε να μετρήσουμε τη διαφορά δυναμικού που δημιουργείται μεταξύ του κάτω και του επάνω μέρους της πλάκας εξαιτίας της συσσώρευσης ηλεκτρικού φορτίου. Αυτή η διαφορά δυναμικού ονομάζεται τάση Hall (V$\_{H}$) .Εάν οι φορείς του ηλεκτρικού ρεύματος είναι θετικοί (όπως συμβαίνει σε ορισμένους ημιαγωγούς) (σχ. 4.51β) αυτοί θα εκτραπούν προς τα πάνω και έτσι στο επάνω μέρος συσσωρεύεται θετικό φορτίο ενώ στο κάτω αρνητικό. Στην περίπτωση αυτή το πρόσημο της τάσης Hall είναι αντίθετο από ό,τι πριν, όταν οι φορείς ήταν ηλεκτρόνια. Προσδιορίζοντας λοιπόν την πολικότητα της τάσης Hall προσδιορίζεται το πρόσημο των φορέων φορτίου.Μπορούμε να βρούμε μια έκφραση για την τάση Hall αν θυμηθούμε ότι στην κατάσταση ισορροπίας η δύναμη του μαγνητικού πεδίου FBq d = υ εξισορροπείται από τη δύναμη του ηλεκτρικού πεδίου Eq",,paper_183.md
## Μέτρηση του εμβαδού επιφάνειας: Πόσα τετραγωνάκια με πλευρά 1 cm περιέχει η επιφάνεια ;,,paper_179.md
ΟΝΟΜΑ:,,paper_250.md
"## Δραστηριότητες- 1. Ιδεοθύελλα στην τάξη: στα προσκυνήματα των χριστιανών, ποια είναι τα σύμβολα που χρησιμοποιούνται συχνά; Ένα παράδειγμα είναι το κουραστικό περπάτημα που δείχνει την αφοσίωση του πιστού. Μπορείτε να βρείτε άλλα; - 2. Γίνετε εκπρόσωποι ενός προσκυνήματος! Φτιάξτε ομάδες και παρουσιάστε από ένα προσκύνημα που σας έκανε εντύπωση σε ξεχωριστούς πάγκους-θρανία, προσπαθώντας να δείξετε τη σημασία και τη λαμπρότητά του. Οι συμμαθητές/τριες περνούν από όλα τα θρανία και αφού δουν όλες τις παρουσιάσεις ψηφίζουν σηκώνοντας το χέρι την πιο ενδιαφέρουσα. - 3. Συζητήστε: τι μπορεί να σημαίνει για έναν άνθρωπο να γίνει προσκυνητής; Ποιες α λλαγές πρέπει να κάνει στη ζωή του;",,paper_70.md
"Ιωάννης Ζηζιούλας, Μητροπολίτης Περγάμου, «Πολιτιστικές ταυτότητες και παγκοσμιοποίηση», στο Πολιτιστικές «ταυτότητες» & «παγκοσμιοποίηση», Κείμενα Συνεδρίου , Εταιρεία Παιδείας και Πολιτισμού «Εντελέχεια» ­ Εκπαιδευτήρια Γείτονα & Κωστέα ­ Γείτονα, Αθήνα, 2003, σσ. 25­33.",,paper_77.md
"## 11.3 ΑγγειοκαρδιογραφίαΠρόκειται για μέθοδο ακτινολογικής απεικόνισης και μελέτης των καρδιακών κοιλοτήτων και των μεγάλων αγγείων (ανιούσα αορτή, θωρακική αορτή), μετά από έγχυση σκιαγραφικής ουσίας σε συγκεκριμένη καρδιακή κοιλότητα.Η εξέταση γίνεται με τους ακόλουθους δύο τρόπους.",,paper_691.md
"## 2.11.2 Ποιότητα προϊόντων κρέατοςΩς ποιότητα στα προϊόντα κρέατος ορίζεται το σύνολο των ιδιοτήτων που πρέπει να έχουν αυτά, ώστε να ικανοποιούν τις απαιτήσεις του καταναλωτή και τις ισχύουσες προδιαγραφές.Στις ιδιότητες που προσδιορίζουν την ποιότητα των προϊόντων κρέατος περιλαμβάνονται: α) τα οργανοληπτικά χαρακτηριστικά, β) η χημική σύνθεση και η περιεκτικότητα σε ορισμένες ουσίες, γ) η θρεπτική αξία, δ) η υγιεινή κατάσταση και ε) η εμπορική αξία των προϊόντων.Τα οργανοληπτικά χαρακτηριστικά που επηρεάζουν την ποιότητα των προϊόντων κρέατος είναι η εξωτερική εμφάνιση, το χρώμα στην επιφάνεια και στην τομή, η οσμή, η γεύση και η σύσταση. Αρνητικά επηρεάζουν την ποιότητα των προϊόντων κρέατος τα διάφορα ελαττώματα και η παρουσία σκληρών και δυσμάσητων τεμαχιδίων από χόνδρους, τένοντες και συνδετικό ιστό.",,paper_318.md
https://antikleidi.com/2019/03/08/yannis-behrakis-story-behind-superman-photo/,,paper_800.md
Γενικά:,,paper_122.md
"## 6. 8. 2. Πρόσθιος Βραχιόνιος Μυς.Σχήμα 6. 9. Δικέφαλος Βραχιόνιος μυς.Έκφυση. Ο μυς εκφύεται από το κάτω μισό τμήμα του βραχιόνιου οστού. Κατάφυση. Καταφύεται στην Ωλένη και στον αρθρικό θύλακα του αγκώνα. Ενέργεια. Η δράση του είναι η κάμψη του αγκώνα. Η διαφορά του με τον δικέφαλο βραχιόνιο είναι ότι δρα ως καμπτήρας ανεξάρτητα από την θέση του αντιβραχίου (πρηνισμός ή υπτιασμός), όπως συμβαίνει με τον δικέφαλο βραχιόνιο.",,paper_706.md
m 2,,paper_611.md
147,,paper_766.md
∧,,paper_136.md
Προϊστάμενος:,,paper_367.md
3.,,paper_136.md
Εικόνα 3.4,,paper_719.md
"## Η μετά το 1856 περίοδοςΗ δια του Χάτι-χουμαγιούν της 18 Φεβρουάριου 1856 εγκαινιασθείσα αύτη περίοδος επεξετάθη καθ' όλην την βασιλείαν του διαδεχθέντος τον Αβδούλ Μεδζίτ αδελφού του, Αβδούλ Αζίζ (1861 -1876). Καρποί της περιόδου ταύτης είναι: ο ποινικός κώδιξ (1858), η Αυτοκρατορι κή Οθωμανική Τράπεζα (1863), η νέα διοικητική οργάνωσις (νόμος περί βιλαετίων 1864), το Συμβούλιον Επικρατείας και ο Άρειος Πάγος (1868), το Γαλλοτουρκικόν Λύκειον «Γαλατά - Σεράι» (1869), ο αστικός κώδιξ (1869-1876).Η εισαγωγή όμως τοιαύτης εκτάσεως καινοτομιών υπήρξεν αρκού ντως δαπανηρά, και, εκ παραλλήλου με τας σπατάλας της Αυλής, επέφερεν εξόγκωσιν του δημοσίου χρέους δια της συνάψεως μεγά λων δανείων. Το αποτέλεσμα υπήρξεν ότι η Τουρκία το 1875 ανέστει λε καθ' ολοκληρίαν την υπηρεσίαν του δημοσίου χρέους. Ούτω εις τα τόσα προβλήματα άτινα αντιμετώπιζεν η Οθωμανική κυβέρνησις και άτινα έδιδον αφορμάς εις παντοίας επεμβάσεις των Μεγάλων Δυνάμεων εις τα εσωτερικά της αυτοκρατορίας, προσετέθη το 1875 και η πτώχευσις, το δε 1881, η επιβολή διεθνούς οικονομικού ελέγχου.",,paper_247.md
Εικόνα 10.5,,paper_691.md
"## Η συνάρτηση f(x) = a xΔιακρίνουμε δύο περιπτώσεις:- · Αν α > 0 , τότε εργαζόμαστε όπως εργαστήκαμε για τη συνάρτηση gx x () = 1 και καταλήγουμε στα ίδια συμπεράσματα. Στο σχήμα α' δίνονται οι γραφικές παραστάσεις της f (x) x = α για α = 0,5, α = 1 και α = 2.- · Αν α < 0 , τότε εργαζόμαστε όπως εργαστήκαμε για τη συνάρτηση hx x () =- 1 και καταλήγουμε στα ίδια συμπεράσματα. Στο σχήμα β' δίνονται οι γραφικές παραστάσεις της f ( ) x x = α για α = -0,5 , α = -1 και α = 2. - -Η γραφική παράσταση της συνάρτησης f ( ) , x x = α με α ≠ 0, λέγεται ισοσκελής υπερβολή με κέντρο την αρχή των αξόνων και ασύμπτωτες τους άξονες x'x και y'y.",,paper_122.md
Λαμπτήρες από ατμό,,paper_766.md
ρ,,paper_112.md
"Ν.Ε.: παράθυρα αλουμινίου- ε) Γενική του περιεχομένου · προσδιορίζει συνήθως λέξη περιεκτική, όπως ἀγέλη, ἅμαξα, ἀριθμός, ὄχλος, πλῆθος, πλοῖον, στόλος, στρατιά, σωρὸς κ.ά.:ὁ ὄχλος τῶν στρατιωτῶν -ἀγέλη δελφίνων -πλῆθος πολιτῶνΝ.Ε.: αποθήκη πυρομαχικών - [αλλά και:] ποτήρι (με) κρασί- στ) Γενική της ιδιότητας ·δηλώνει ηλικία, μέγεθος, βάρος ή άλλο ιδιαίτερο γνώρισμα του όρου που προσδιορίζει και συνοδεύεται συχνά από αριθμητικό ή από επίθετο που δηλώνει ποσό:ὁδὸς πολλῶν ἡμερῶν - ἔργα ἀρετῆςΝ.Ε.: παιδί έξι ετών - ποτήρι του νερού- ζ) Γενική της αξίας ή του τιμήματος · δηλώνει την υλική ή ηθική αξία του όρου που προσδιορίζει. Με γενική της αξίας συντάσσονται και τα επίθετα ἄξιος, ἀνάξιος, ἀντάξιος, ἀξιόχρεως (άξιος, αξιόπιστος), ὠνητός, τίμιος, ἄτιμος κ.τ.ό.:οἶκος ὀκτὼ ταλάντων - δέκα μνῶν χωρίονΚατέλιπε πέντε ταλάντων οὐσίαν. (περιουσία)Ἐδωρήσατο φιάλην ἀργυρᾶν ἀξίαν δέκα μνῶν .Πᾶς χρυσὸς ἀρετῆς οὐκ ἀντάξιος.Ν.Ε.: · Aγόρασε εισιτήριο εξήντα λεπτών . · Eίναι άνθρωπος κύρους . · Είσαι άξιος συγχαρητηρίων .",,paper_38.md
## 8. Συσκευή παραγωγής απεσταγμένου νερού (Εικ. 9.7)Η συσκευή αυτή βρίσκεται απευθείας συνδεμένη με τη βρύση παροχής νερού στο εργαστήριο και παράγει απεσταγμένο νερό για να χρησιμοποιηθεί όπου απαιτείται όπως π.χ. στην παρασκευή θρεπτικών υλικών και διαλυμάτων.Εικόνα 9.7 Συσκευή Παραγωγής Απεσταγμένου Νερού,,paper_722.md
"Επίσης με την πάροδο της ηλικίας αυξάνονται τα λάθη στη λήψη φαρμάκων. Εάν η φαρμακευτική αγωγή είναι περίπλοκη, τότε είναι δύσκολο να την ακολουθήσει ο ηλικιωμένος ή η οικογένειά του και είτε παύουν να τα παίρνουν, είτε παίρνουν λάθος δόση στο λάθος χρόνο, μερικές φορές με καταστροφικά αποτελέσματα. Πολλές φορές τα αποτελέσματα της θεραπείας επηρεάζονται και από τη λήψη άλλων φαρμάκων τα οποία είτε χορηγήθηκαν στον ασθενή για άλλο νόσημα, είτε πρόκειται για φάρμακα που πήρε μόνος του για αυτοθεραπεία ή τα δανείστηκε από κάποιο οικείο του. Γι αυτό εφαρμόζονται μερικές γενικές αρχές κατά τη χορήγηση φαρμάκων στους ηλικιωμένους :- χορηγείται η μικρότερη δυνατή δόση - · χρησιμοποιούνται όσο το δυνατό λιγότερα φάρμακα- · χορηγούνται αν είναι δυνατό φάρμακα βραχείας δράσης - · μερικές φαρμακευτικές μορφές είναι πιο εύκολες στη χρήση όπως τα ελιξίρια από τα δισκία, αν τα δισκία έχουν πολύ μεγάλο ή μικρό μέγεθος - το φάρμακο δεν πρέπει να συνεχίζεται περισσότερο από ότι χρειάζεται - · δίνονται απλές και σαφείς οδηγίες στους ασθενείς και στους οικείους τους και χρησιμοποιούνται συσκευασίες που διευκολύνουν τη χρήση.",,paper_760.md
"## ΒΕΒΑΙΩΣΗΗ βεβαίωση χορηγείται μετά από αίτηση του ενδιαφερομένου, για να την υποβάλλει στην ΠΑΤΕΣ / ΣΕΛΕΤΕ ως προσόν εισαγωγής.Βεβαιώνεται ότι ο Πετρόπουλος Ευάγγελος του Περικλή, όπως φαίνεται και από τα βιβλία της επιχείρησής μας, εργάζεται ως Λογιστής από την 1 Σεπτεμβρίου 19.. μέχρι και σήμερα.",,paper_391.md
www.corel.com,,paper_440.md
Πλάι (Οψη),,paper_413.md
"Παναγία η Βλαχέρνα, Κέρκυρα",,paper_70.md
## 2. Όργανα - συσκευές,,paper_522.md
α) Σωστό,,paper_526.md
## ΒΙΒΛΙΟΓΡΑΦΙΑ,,paper_395.md
"##  Διακριτικά των συσκευών πλοίου.Σε κάθε πλοίο διατίθεται διπλό διακριτικό, ένα για λήψη και ένα για εκπομπή, ώστε να είναι δυνατή η ανίχνευση σταθμών πλοίων που παρουσιάζουν ελαττωματική λειτουργία.Τα διακριτικά των πλοίων στο σύστημα Β βασίζονται στις συστάσεις της CCITT*. Κάθε πλοίο προσδιορίζεται από ένα 9ψήφιο διακριτικό ( ΙΜΝ -I NMARSAT M obile N umber). Για να μειωθεί ο όγκος των εκπεμπόμενων στοιχείων χρησιμοποιούνται διακριτικά των 24 bit. Η διασταύρωση του διακριτικού, που προσδιορίζει η CCITT με αυτό της συσκευής, γίνεται από τους παρακτίους με τη βοήθεια πινάκων.Οι LES έχουν 3ψηφιο διακριτικό κλήσης και για τις παρεχόμενες υπηρεσίες τους, διατίθενται 2ψήφιοι κώδικες (δείτε Παραρτήματα Ζ' και Η' αντίστοιχα, σελ. 126,128).",,paper_625.md
Στα τρόφιμα:-  αποτελούν συμπυκνωμένη πηγή ενέργειας -  παρέχουν τα απαραίτητα λιπαρά οξέα -  αποτελούν φορείς λιποδιαλυτών βιταμινών -  βελτιώνουν τη γεύση και το άρωμα των τροφίμων -  κάνουν τα τρόφιμα πιο εύληπτα -  διεγείρουν την όρεξη και βοηθούν στο αίσθημα κορεσμού.,,paper_152.md
